config,seed,episode,eval_return
sb3_recurrentppo_pomdp,3,1,181.0
sb3_recurrentppo_pomdp,3,2,190.0
sb3_recurrentppo_pomdp,3,3,162.0
sb3_recurrentppo_pomdp,3,4,171.0
sb3_recurrentppo_pomdp,3,5,179.0
sb3_recurrentppo_pomdp,3,6,173.0
sb3_recurrentppo_pomdp,3,7,189.0
sb3_recurrentppo_pomdp,3,8,168.0
sb3_recurrentppo_pomdp,3,9,185.0
sb3_recurrentppo_pomdp,3,10,168.0
sb3_recurrentppo_pomdp,3,11,199.0
sb3_recurrentppo_pomdp,3,12,170.0
sb3_recurrentppo_pomdp,3,13,181.0
sb3_recurrentppo_pomdp,3,14,167.0
sb3_recurrentppo_pomdp,3,15,190.0
sb3_recurrentppo_pomdp,3,16,184.0
sb3_recurrentppo_pomdp,3,17,167.0
sb3_recurrentppo_pomdp,3,18,180.0
sb3_recurrentppo_pomdp,3,19,211.0
sb3_recurrentppo_pomdp,3,20,174.0
